skill_range_id,rate,skill_id,start_level,end_level,method_name,description
1,45.0,21,1,60,Crabs,
2,22.0,21,60,99,Crabs,
3,18.0,21,60,99,NMZ,
4,45.0,15,1,60,Crabs,
5,20.0,15,1,99,MM1,
6,11.0,15,1,99,MM2,
7,40.0,12,1,99,"Splashing/String Jewelry",
8,25.0,12,1,99,MM1,
9,20.0,12,1,99,MM2,
10,18.0,14,1,99,"POH Bones",
11,20.0,14,70,99,"POH Superiors",
12,30.0,14,1,99,"Wilderness Altar",
13,400.0,1,1,40,Rooftops,
14,200.0,1,40,60,Rooftops,
15,120.0,1,60,90,Rooftops,
16,100.0,1,90,99,Rooftops,
17,200.0,2,1,22,Chairs,
18,100.0,2,22,52,"Oak Larders",
19,45.0,2,52,99,"Oak Tables",
20,30.0,2,66,99,"Teak Bench",
21,15.0,2,52,99,"Mahogany Tables",
22,30.0,3,1,99,"Varying methods",
23,16.0,3,35,68,"Fermenting wines",
24,12.0,3,68,99,"Fermenting wines",
25,50.0,4,1,63,Gems,
26,12.0,4,63,99,"Dhide Bodies",
27,30.0,4,1,42,Glassblowing,
28,15.0,4,42,99,Glassblowing,
29,420.0,5,34,54,Tithe,
30,185.0,5,54,74,Tithe,
31,110.0,5,74,99,Tithe,
32,80.0,20,1,50,Logs,
33,30.0,20,50,75,Logs,
34,20.0,20,75,99,Logs,
35,30.0,20,50,75,Wintertodt,
36,20.0,20,75,99,Wintertodt,
37,100.0,7,20,58,"Fly Fishing",
38,70.0,7,58,72,Barbarian,
39,50.0,7,72,99,Barbarian,
40,200.0,7,82,99,Minnows,
41,7.0,8,1,99,Darts,
42,40.0,8,5,99,Bows,
43,30.0,9,1,52,Various,
44,20.0,9,52,81,"Super Energies",
45,11.0,9,81,99,"Saradomin Brews",
46,200.0,11,1,59,"Various Methods",
47,80.0,11,59,67,"Red Sallys",
48,55.0,11,60,99,"Maniacal Monkeys",
49,55.0,11,67,99,"Black Sallys",
50,130.0,11,63,80,"Red Chins",
51,90.0,11,80,99,"Red Chins",
52,110.0,11,73,83,"Black Chins",
53,100.0,11,83,99,"Black Chins",
54,300.0,13,1,30,Iron,
55,200.0,13,30,61,Iron,
56,150.0,13,61,99,Iron,
57,200.0,13,30,61,"MLM Lower",
58,160.0,13,61,99,"MLM Lower",
59,100.0,13,72,99,"MLM Upper",
60,90.0,13,75,99,"Volcanic Mine",
61,400.0,16,1,23,Tiaras,
62,225.0,16,23,50,"Solo Lavas",
63,175.0,16,50,75,"Solo Lavas",
64,150.0,16,75,99,"Solo Lavas",
65,300.0,16,1,50,ZMI,
66,190.0,16,50,75,ZMI,
67,150.0,16,75,99,ZMI,
68,75.0,16,77,99,"Zeah Bloods",
69,60.0,16,90,99,"Zeah Souls",
70,450.0,17,1,50,"No Cannon/No Bursting",
71,225.0,17,50,99,"No Cannon/No Bursting",
72,200.0,17,1,50,Cannon/Bursting,
73,125.0,17,50,99,Cannon/Bursting,
74,60.0,18,1,68,"Various Methods",
75,55.0,18,68,88,"Mithril Plates",
76,50.0,18,88,99,"Addy Plates",
77,400.0,19,1,45,Various,
78,175.0,19,45,55,Blackjack,
79,100.0,19,55,65,Blackjack,
80,40.0,19,65,99,Blackjack,
81,40.0,19,55,99,"Knights [with cape]",
82,55.0,19,55,99,"Knights [without cape]",
83,100.0,20,1,35,"Regular Trees",
84,70.0,20,35,61,Teaks,
85,50.0,20,61,99,Teaks,
86,30.0,20,90,99,Redwoods,
